LA	subnetwork	OD	with	preload									
127	172	149	67.77	0.05	0	3600	1	0	0	0	0	1	1
128	182	150	83.36	0.05	0	3600	1	0	0	0	0	1	1
129	182	151	36.53	0.05	0	3600	1	0	0	0	0	1	1
130	172	152	28.56	0.05	0	3600	1	0	0	0	0	1	1
131	182	154	36.53	0.05	0	3600	1	0	0	0	0	1	1
132	182	155	83.36	0.05	0	3600	1	0	0	0	0	1	1
133	172	156	31.78	0.05	0	3600	1	0	0	0	0	1	1
134	172	157	28.01	0.05	0	3600	1	0	0	0	0	1	1
135	182	158	15.8	0.05	0	3600	1	0	0	0	0	1	1
136	182	159	15.8	0.05	0	3600	1	0	0	0	0	1	1
137	172	184	23.1	0.05	0	3600	1	0	0	0	0	1	1
138	172	160	19.32	0.05	0	3600	1	0	0	0	0	1	1
139	172	189	42.14	0.05	0	3600	1	0	0	0	0	1	1
140	172	186	58.31	0.05	0	3600	1	0	0	0	0	1	1
141	172	183	541.79	0.05	0	3600	1	0	0	0	0	1	1
142	172	34	16.46	0.05	0	3600	1	0	0	0	0	1	1
143	162	4	91.93	0.05	0	3600	1	0	0	0	0	1	1
144	163	5	53.25	0.05	0	3600	1	0	0	0	0	1	1
145	164	6	22.36	0.05	0	3600	1	0	0	0	0	1	1
146	163	8	70.52	0.05	0	3600	1	0	0	0	0	1	1
147	164	9	16.85	0.05	0	3600	1	0	0	0	0	1	1
148	164	11	29.72	0.05	0	3600	1	0	0	0	0	1	1
149	165	16	52	0.05	0	3600	1	0	0	0	0	1	1
150	165	21	16.1	0.05	0	3600	1	0	0	0	0	1	1
151	165	22	12.72	0.05	0	3600	1	0	0	0	0	1	1
152	162	3	91.63	0.05	0	3600	1	0	0	0	0	1	1
153	162	12	13.67	0.05	0	3600	1	0	0	0	0	1	1
154	162	14	17.21	0.05	0	3600	1	0	0	0	0	1	1
155	162	17	10.57	0.05	0	3600	1	0	0	0	0	1	1
156	162	19	13.67	0.05	0	3600	1	0	0	0	0	1	1
157	163	22	4.34	0.05	0	3600	1	0	0	0	0	1	1
158	163	44	5.95	0.05	0	3600	1	0	0	0	0	1	1
159	165	18	13.7	0.05	0	3600	1	0	0	0	0	1	1
160	165	23	4.97	0.05	0	3600	1	0	0	0	0	1	1
161	172	46	309.52	0.05	0	3600	1	0	0	0	0	1	1
162	163	3	13.53	0.05	0	3600	1	0	0	0	0	1	1
163	163	4	13.53	0.05	0	3600	1	0	0	0	0	1	1
164	163	12	9.38	0.05	0	3600	1	0	0	0	0	1	1
165	163	14	25.46	0.05	0	3600	1	0	0	0	0	1	1
166	163	17	19.02	0.05	0	3600	1	0	0	0	0	1	1
167	163	19	9.38	0.05	0	3600	1	0	0	0	0	1	1
168	163	23	1.54	0.05	0	3600	1	0	0	0	0	1	1
169	163	30	2.31	0.05	0	3600	1	0	0	0	0	1	1
170	163	32	2.1	0.05	0	3600	1	0	0	0	0	1	1
171	163	34	1.47	0.05	0	3600	1	0	0	0	0	1	1
172	163	47	1.19	0.05	0	3600	1	0	0	0	0	1	1
173	163	40	0.21	0.05	0	3600	1	0	0	0	0	1	1
174	163	42	0.14	0.05	0	3600	1	0	0	0	0	1	1
175	165	28	9.25	0.05	0	3600	1	0	0	0	0	1	1
176	165	33	7.12	0.05	0	3600	1	0	0	0	0	1	1
177	172	129	8.28	0.05	0	3600	1	0	0	0	0	1	1
178	172	140	8.21	0.05	0	3600	1	0	0	0	0	1	1
179	172	147	9.88	0.05	0	3600	1	0	0	0	0	1	1
180	172	153	9.6	0.05	0	3600	1	0	0	0	0	1	1
181	1	161	165.46	0.05	0	3600	1	0	0	0	0	1	1
182	1	3	3.2	0.05	0	3600	1	0	0	0	0	1	1
183	1	4	3.2	0.05	0	3600	1	0	0	0	0	1	1
184	1	5	3.2	0.05	0	3600	1	0	0	0	0	1	1
185	1	6	2.2	0.05	0	3600	1	0	0	0	0	1	1
186	1	7	3.2	0.05	0	3600	1	0	0	0	0	1	1
