Mic_Zone_ID,TAZ_ID,attr,,,,,,,,
274,20602000,0,,,,,,,,
275,21119000,0,,,,,,,,
276,20891000,0,,,,,,,,
277,20881000,0,,,,,,,,
278,20891000,0,,,,,,,,
279,20880000,0,,,,,,,,
280,20887000,0,,,,,,,,
281,20887000,0,,,,,,,,
282,20891000,0,,,,,,,,
283,21142000,0,,,,,,,,
284,20888000,0,,,,,,,,
285,20603000,0,,,,,,,,
286,20900000,0,,,,,,,,
287,20886000,0,,,,,,,,
288,20598000,0,,,,,,,,
289,20596000,0,,,,,,,,
290,20596000,0,,,,,,,,
291,20896000,0,,,,,,,,
292,20892000,0,,,,,,,,
293,20891000,0,,,,,,,,
294,20891000,0,,,,,,,,
295,20885000,0,,,,,,,,
296,20595000,0,,,,,,,,
297,20885000,0,,,,,,,,
298,20900000,0,,,,,,,,
299,21147000,0,,,,,,,,
300,20898000,0,,,,,,,,
301,20887000,0,,,,,,,,
302,20895000,0,,,,,,,,
303,20895000,0,,,,,,,,
304,20606000,0,,,,,,,,
305,20606000,0,,,,,,,,
306,20607000,0,,,,,,,,
307,20891000,0,,,,,,,,
308,21147000,0,,,,,,,,
309,21152000,0,,,,,,,,
310,21151000,0,,,,,,,,
311,20887000,0,,,,,,,,
312,20609000,0,,,,,,,,
313,20899000,0,,,,,,,,
314,20604000,0,,,,,,,,
315,20899000,0,,,,,,,,
316,20887000,0,,,,,,,,
317,20904000,0,,,,,,,,
318,20905000,0,,,,,,,,
319,20904000,0,,,,,,,,
320,20904000,0,,,,,,,,
321,20607000,0,,,,,,,,
322,20907000,0,,,,,,,,
323,21155000,0,,,,,,,,
324,21155000,0,,,,,,,,
325,20610000,0,,,,,,,,
326,21158000,0,,,,,,,,
327,20903000,0,,,,,,,,
328,20918000,0,,,,,,,,
329,20913000,0,,,,,,,,
330,20910000,0,,,,,,,,
331,20910000,0,,,,,,,,
332,20914000,0,,,,,,,,
333,20911000,0,,,,,,,,
334,20900000,0,,,,,,,,
335,20915000,0,,,,,,,,
336,20914000,0,,,,,,,,
337,20907000,0,,,,,,,,
338,20616000,0,,,,,,,,
339,20609000,0,,,,,,,,
340,20915000,0,,,,,,,,
341,20913000,0,,,,,,,,
342,20615000,0,,,,,,,,
343,20915000,0,,,,,,,,
344,20916000,0,,,,,,,,
345,20918000,0,,,,,,,,
346,20901000,0,,,,,,,,
347,20901000,0,,,,,,,,
348,20915000,0,,,,,,,,
349,20915000,0,,,,,,,,
350,20908000,0,,,,,,,,
351,20901000,0,,,,,,,,
352,21168000,0,,,,,,,,
353,20920000,0,,,,,,,,
354,21158000,0,,,,,,,,
355,21171000,0,,,,,,,,
356,20911000,0,,,,,,,,
357,20929000,0,,,,,,,,
358,20922000,0,,,,,,,,
359,20930000,0,,,,,,,,
360,20920000,0,,,,,,,,
361,20924000,0,,,,,,,,
362,20918000,0,,,,,,,,
363,20623000,0,,,,,,,,
364,20621000,0,,,,,,,,
365,20916000,0,,,,,,,,
366,20624000,0,,,,,,,,
367,20719000,0,,,,,,,,
368,20925000,0,,,,,,,,
369,20929000,0,,,,,,,,
370,20621000,0,,,,,,,,
371,20929000,0,,,,,,,,
372,20928000,0,,,,,,,,
373,20924000,0,,,,,,,,
374,20622000,0,,,,,,,,
375,21166000,0,,,,,,,,
376,21177000,0,,,,,,,,
377,20906000,0,,,,,,,,
378,20622000,0,,,,,,,,
379,20621000,0,,,,,,,,
380,20926000,0,,,,,,,,
381,20932000,0,,,,,,,,
382,20918000,0,,,,,,,,
383,20923000,0,,,,,,,,
384,20930000,0,,,,,,,,
385,20925000,0,,,,,,,,
386,20924000,0,,,,,,,,
